"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_2","01:05:00","01:05:00","102","1","0","0"
"GO103_25_2","01:42:00","01:42:00","27","2","0","0"
"GO103_25_2","01:48:00","01:48:00","26","3","0","0"
"GO103_25_2","01:54:00","01:54:00","100","4","0","0"
"GO103_25_2","01:58:00","01:58:00","74","5","0","0"
"GO103_25_2","02:04:00","02:04:00","157","6","0","0"
"GO103_25_2","02:11:00","02:11:00","204","7","0","0"
"GO103_25_2","02:19:00","02:19:00","163","8","0","0"
"GO103_25_2","02:25:00","02:25:00","21","9","0","0"
"GO103_25_2","02:32:00","02:32:00","140","10","0","0"
"GO103_25_2","02:48:00","02:48:00","198","11","0","0"
"GO103_25_2","02:54:00","02:54:00","233","12","0","0"
"GO103_25_2","03:04:00","03:04:00","83","13","0","0"
"GO103_25_2","03:14:00","03:14:00","191","14","0","0"
"GO103_25_2","03:22:00","03:22:00","13","15","0","0"
"GO103_25_2","03:32:00","03:32:00","48","16","0","0"
"GO103_25_2","03:37:00","03:37:00","4","17","0","0"
"GO103_25_2","03:57:00","03:57:00","141","18","0","0"
"GO103_25_3","01:09:00","01:09:00","141","1","0","0"
"GO103_25_3","01:29:00","01:29:00","4","2","0","0"
"GO103_25_3","01:34:00","01:34:00","48","3","0","0"
"GO103_25_3","01:43:00","01:43:00","13","4","0","0"
"GO103_25_3","01:53:00","01:53:00","191","5","0","0"
"GO103_25_3","02:03:00","02:03:00","83","6","0","0"
"GO103_25_3","02:12:00","02:12:00","233","7","0","0"
"GO103_25_3","02:20:00","02:20:00","198","8","0","0"
"GO103_25_3","02:36:00","02:36:00","140","9","0","0"
"GO103_25_3","02:43:00","02:43:00","21","10","0","0"
"GO103_25_3","02:50:00","02:50:00","163","11","0","0"
"GO103_25_3","02:58:00","02:58:00","204","12","0","0"
"GO103_25_3","03:04:00","03:04:00","157","13","0","0"
"GO103_25_3","03:10:00","03:10:00","74","14","0","0"
"GO103_25_3","03:14:00","03:14:00","100","15","0","0"
"GO103_25_3","03:20:00","03:20:00","26","16","0","0"
"GO103_25_3","03:26:00","03:26:00","27","17","0","0"
"GO103_25_3","04:05:00","04:05:00","102","18","0","0"
"GO103_25_4","08:13:00","08:18:00","102","1","0","0"
"GO103_25_4","08:57:00","08:57:00","27","2","0","0"
"GO103_25_4","09:21:00","09:21:00","163","3","0","0"
"GO103_25_4","09:27:00","09:27:00","21","4","0","0"
"GO103_25_4","09:34:00","09:34:00","140","5","0","0"
"GO103_25_4","09:50:00","09:50:00","198","6","0","0"
"GO103_25_4","09:56:00","09:56:00","233","7","0","0"
"GO103_25_4","10:05:00","10:05:00","83","8","0","0"
"GO103_25_4","10:15:00","10:15:00","191","9","0","0"
"GO103_25_4","10:23:00","10:23:00","13","10","0","0"
"GO103_25_4","10:33:00","10:33:00","48","11","0","0"
"GO103_25_4","10:38:00","10:38:00","4","12","0","0"
"GO103_25_4","10:58:00","10:58:00","141","13","0","0"
"GO103_25_5","04:32:00","04:32:00","191","1","0","0"
"GO103_25_5","04:42:00","04:42:00","83","2","0","0"
