"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","","","2","300"
"102","102","GO103_25_2306","GO103_25_2","1",""
"102","102","GO103_25_2702","GO103_25_2","1",""
"102","102","GO103_25_814","GO103_25_4","1",""
"102","102","GO103_25_1612","GO103_25_4","1",""
"102","102","GO103_25_1524","GO103_25_8","1",""
"102","102","GO103_25_1524_1","GO103_25_8","1",""
"102","102","GO103_25_2724","GO103_25_8","1",""
"102","102","GO103_25_170","GO103_25_18","1",""
"102","102","GO103_25_2064","GO103_25_18","1",""
"102","102","GO103_25_770","GO103_25_22","1",""
"102","102","GO103_25_1064","GO103_25_22","1",""
"102","102","GO103_25_1978","GO103_25_26","1",""
"102","102","GO103_25_2784","GO103_25_26","1",""
"27","27","GO103_25_31","GO103_25_217","1",""
"27","27","GO103_25_196","GO103_25_32","1",""
"27","27","GO103_25_136","GO103_25_36","1",""
"27","27","GO103_25_148","GO103_25_38","1",""
"27","27","GO103_25_168","GO103_25_40","1",""
"27","27","GO103_25_41","GO103_25_133","1",""
"102","102","GO103_25_1660","GO103_25_42","1",""
"27","27","GO103_25_43","GO103_25_167","1",""
"102","102","GO103_25_272","GO103_25_44","1",""
"27","27","GO103_25_180","GO103_25_46","1",""
"102","102","GO103_25_192","GO103_25_48","1",""
"102","102","GO103_25_2788","GO103_25_48","1",""
"27","27","GO103_25_120","GO103_25_56","1",""
"27","27","GO103_25_57","GO103_25_229","1",""
"27","27","GO103_25_124","GO103_25_58","1",""
"27","27","GO103_25_59","GO103_25_139","1",""
"27","27","GO103_25_128","GO103_25_60","1",""
"27","27","GO103_25_61","GO103_25_143","1",""
"102","102","GO103_25_716","GO103_25_62","1",""
"102","102","GO103_25_1916","GO103_25_62","1",""
"27","27","GO103_25_63","GO103_25_147","1",""
"27","27","GO103_25_132","GO103_25_64","1",""
"27","27","GO103_25_67","GO103_25_155","1",""
"27","27","GO103_25_144","GO103_25_68","1",""
"27","27","GO103_25_69","GO103_25_163","1",""
"27","27","GO103_25_71","GO103_25_171","1",""
"27","27","GO103_25_73","GO103_25_177","1",""
"27","27","GO103_25_152","GO103_25_74","1",""
"27","27","GO103_25_75","GO103_25_181","1",""
"102","102","GO103_25_162","GO103_25_76","1",""
"102","102","GO103_25_754","GO103_25_76","1",""
"27","27","GO103_25_77","GO103_25_185","1",""
"27","27","GO103_25_164","GO103_25_78","1",""
"102","102","GO103_25_760","GO103_25_80","1",""
"102","102","GO103_25_1970","GO103_25_80","1",""
"27","27","GO103_25_268","GO103_25_82","1",""
