from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246100424610051+1844350+1,246100424610051+1844356+1,1,
20,20,,,246101124610283+1844350+1,246101124610283+1844356+1,1,
20,20,,,246104624610561+1844350+1,246104624610561+1844356+1,1,
20,20,,,246106724610844+1844350+1,246106724610844+1844356+1,1,
20,20,,,246103424610343+1844352+1,246103424610343+1844358+1,1,
20,20,,,246106724610841+1844350+1,246106724610841+1844356+1,1,
20,20,,,246109524611751+1844350+1,246109524611751+1844356+1,1,
20,20,,,246101524611765+1844351+1,246101524611765+1844357+1,1,
20,20,,,246099724610001+1844350+1,246099724610001+1844356+1,1,
20,20,,,246099724610004+1844350+1,246099724610004+1844356+1,1,
20,20,,,246101124610284+1844350+1,246101124610284+1844356+1,1,
20,20,,,246099224609934+1844350+1,246099224609934+1844356+1,1,
20,20,,,246106124610633+1844350+1,246106124610633+1844356+1,1,
20,20,,,246100424610052+1844350+1,246100424610052+1844356+1,1,
20,20,,,246106724610842+1844350+1,246106724610842+1844356+1,1,
20,20,,,246106724610843+1844350+1,246106724610843+1844356+1,1,
20,20,,,246099424610015+1844351+1,246099424610015+1844357+1,1,
20,20,,,246100624610063+1844352+1,246100624610063+1844358+1,1,
20,20,,,246101124610281+1844350+1,246101124610281+1844356+1,1,
20,20,,,246101124610282+1844350+1,246101124610282+1844356+1,1,
20,20,,,246104624610562+1844350+1,246104624610562+1844356+1,1,
20,20,,,246106124610632+1844350+1,246106124610632+1844356+1,1,
20,20,,,246108924610914+1844350+1,246108924610914+1844356+1,1,
20,20,,,246109524611753+1844350+1,246109524611753+1844356+1,1,
20,20,,,246099224609933+1844350+1,246099224609933+1844356+1,1,
20,20,,,246104624610563+1844350+1,246104624610563+1844356+1,1,
20,20,,,246106124610634+1844350+1,246106124610634+1844356+1,1,
20,20,,,246109524611754+1844350+1,246109524611754+1844356+1,1,
20,20,,,246103224610401+1844353+1,246103224610401+1844359+1,1,
20,20,,,246099724610002+1844350+1,246099724610002+1844356+1,1,
20,20,,,246099724610003+1844350+1,246099724610003+1844356+1,1,
20,20,,,246104624610564+1844350+1,246104624610564+1844356+1,1,
20,20,,,246108924610912+1844350+1,246108924610912+1844356+1,1,
20,20,,,246108924610913+1844350+1,246108924610913+1844356+1,1,
20,20,,,246109524611752+1844350+1,246109524611752+1844356+1,1,
