service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
110,1,1,1,1,1,0,0,20260215,20260221
111,0,0,0,0,0,0,0,20260215,20260221
112,0,0,0,0,0,1,0,20260215,20260221
113,0,0,0,0,0,0,1,20260215,20260221
116,1,1,1,1,1,0,0,20260215,20260221
118,0,0,0,0,0,1,0,20260215,20260221
119,0,0,0,0,0,0,1,20260215,20260221
122,1,1,1,1,1,0,0,20260215,20260221
124,0,0,0,0,0,1,0,20260215,20260221
128,1,1,1,1,1,0,0,20260215,20260221
130,0,0,0,0,0,1,0,20260215,20260221
131,0,0,0,0,0,0,1,20260215,20260221
146,1,1,1,1,1,0,0,20260215,20260221
148,0,0,0,0,0,1,0,20260215,20260221
149,0,0,0,0,0,0,1,20260215,20260221
152,1,1,1,1,1,0,0,20260215,20260221
154,0,0,0,0,0,1,0,20260215,20260221
155,0,0,0,0,0,0,1,20260215,20260221
140,1,1,1,1,1,0,0,20260215,20260222
142,0,0,0,0,0,1,0,20260215,20260222
143,0,0,0,0,0,0,1,20260215,20260222
810,0,0,0,0,0,0,0,20260215,20260403
812,0,0,0,0,0,1,0,20260215,20260403
813,0,0,0,0,0,0,1,20260215,20260403
910,1,1,1,1,1,0,0,20260215,20260403
46,1,1,1,1,1,0,0,20260222,20260606
48,0,0,0,0,0,1,0,20260222,20260606
49,0,0,0,0,0,0,1,20260222,20260606
83,0,0,0,0,0,0,0,20260222,20260606
84,0,0,0,0,0,0,0,20260222,20260606
85,0,0,0,0,0,0,0,20260222,20260606
10,1,1,1,1,1,0,0,20260222,20260613
12,0,0,0,0,0,1,0,20260222,20260613
13,0,0,0,0,0,0,1,20260222,20260613
16,1,1,1,1,1,0,0,20260222,20260613
18,0,0,0,0,0,1,0,20260222,20260613
19,0,0,0,0,0,0,1,20260222,20260613
22,1,1,1,1,1,0,0,20260222,20260613
24,0,0,0,0,0,1,0,20260222,20260613
25,0,0,0,0,0,0,1,20260222,20260613
28,1,1,1,1,1,0,0,20260222,20260613
30,0,0,0,0,0,1,0,20260222,20260613
31,0,0,0,0,0,0,1,20260222,20260613
52,1,1,1,1,1,0,0,20260222,20260613
54,0,0,0,0,0,1,0,20260222,20260613
55,0,0,0,0,0,0,1,20260222,20260613
63,0,0,0,0,0,0,0,20260222,20260613
64,0,0,0,0,0,0,0,20260222,20260613
65,0,0,0,0,0,0,0,20260222,20260613
40,1,1,1,1,1,0,0,20260223,20260613
42,0,0,0,0,0,1,0,20260223,20260613
43,0,0,0,0,0,0,1,20260223,20260613
