route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,network_id
L1,1,L1,Market-Frankford Line All Stops,,1,,0097D6,FFFFFF,bus_metro
B1,1,B1,Broad Street Line Local,,1,,F26100,FFFFFF,bus_metro
B2,1,B2,Broad Street Line Express,,1,,F26100,FFFFFF,bus_metro
B3,1,B3,Broad-Ridge Spur,,1,,F26100,FFFFFF,bus_metro
T1,1,T1,13th St to 63rd-Malvern/Overbrook,,0,,5A960A,FFFFFF,bus_metro
T2,1,T2,13th St to 61st-Baltimore/Angora,,0,,5A960A,FFFFFF,bus_metro
T3,1,T3,13th St to Yeadon or Darby TC,,0,,5A960A,FFFFFF,bus_metro
T4,1,T4,13th St to Darby Transit Center,,0,,5A960A,FFFFFF,bus_metro
T5,1,T5,13th St to 80th St/Eastwick,,0,,5A960A,FFFFFF,bus_metro
G1,1,G1,63rd-Girard to Richmond-Westmorelnd,,0,,FFD700,000000,bus_metro
D1,1,D1,Route 101,,0,,DC2E6B,FFFFFF,bus_metro
D2,1,D2,Route 102,,0,,DC2E6B,FFFFFF,bus_metro
M1,1,M1,Norristown High Speed Line Local,,1,,5F249F,FFFFFF,bus_metro
1,1,1,Parx Casino to 54th-City,,3,,FFFFFF,000000,bus_metro
2,1,2,20-Johnston to Pulaski-Hunting Park,,3,,FFFFFF,000000,bus_metro
3,1,3,33rd-Cecil B. Moore to Frankford TC,,3,,000000,FFFFFF,bus_metro
4,1,4,Broad-Pattison to Fern Rock TC,,3,,FFFFFF,000000,bus_metro
5,1,5,2nd-Market to Frankford Transit Ctr,,3,,FFFFFF,000000,bus_metro
6,1,6,Cheltenham-Ogontz to Olney TC,,3,,000000,FFFFFF,bus_metro
7,1,7,Pier 70 to 33rd-Dauphin,,3,,FFFFFF,000000,bus_metro
8,1,8,Olney TC to Frankford TC,,3,,FFFFFF,000000,bus_metro
9,1,9,4th-Walnut to Andorra,,3,,FFFFFF,000000,bus_metro
12,1,12,Columbus-Dock to 50th-Woodland,,3,,FFFFFF,000000,bus_metro
14,1,14,FTC to Neshaminy/Oxford Valley,,3,,FFFFFF,000000,bus_metro
16,1,16,City Hall to Cheltenham-Ogontz,,3,,FFFFFF,000000,bus_metro
17,1,17,Front-Mkt to 20-Johnston/Broad-Pat,,3,,000000,FFFFFF,bus_metro
18,1,18,Fox Chase to Cedarbrook Plaza,,3,,000000,FFFFFF,bus_metro
19,1,19,Torresdale Station to Frankford TC,,3,,FFFFFF,000000,bus_metro
20,1,20,Philadelphia Mills to Frankford TC,,3,,FFFFFF,000000,bus_metro
21,1,21,Columbus-Dock to 69th St TC,,3,,000000,FFFFFF,bus_metro
22,1,22,Warminster/Willow Grove to Olney TC,,3,,FFFFFF,000000,bus_metro
23,1,23,11th Market to Chestnut Hill,,3,,000000,FFFFFF,bus_metro
24,1,24,Southamptn/Rockldge to Frankford TC,,3,,FFFFFF,000000,bus_metro
25,1,25,Frankford TC to Columbus Commons,,3,,FFFFFF,000000,bus_metro
26,1,26,Frankford TC to Chelten Av Station,,3,,FFFFFF,000000,bus_metro
27,1,27,Broad-Carpenter to Plymouth Meeting,,3,,FFFFFF,000000,bus_metro
28,1,28,Fern Rock TC to Torresdale-Cottman,,3,,FFFFFF,000000,bus_metro
29,1,29,Pier 70 to 33rd-Dickinson,,3,,FFFFFF,000000,bus_metro
30,1,30,Gray 30th St Station to 69th St TC,,3,,FFFFFF,000000,bus_metro
31,1,31,City Hall to 76th-City,,3,,FFFFFF,000000,bus_metro
32,1,32,Broad-Carpenter to Ridge-Lyceum,,3,,FFFFFF,000000,bus_metro
33,1,33,5th-Market to 23rd-Venango,,3,,000000,FFFFFF,bus_metro
35,1,35,Manayunk Roxborough Loop,,3,,FFFFFF,000000,bus_metro
37,1,37,Chester Transit Ctr to Broad-Snyder,,3,,FFFFFF,000000,bus_metro
38,1,38,5th-Market to Wissahickon TC,,3,,FFFFFF,000000,bus_metro
39,1,39,Richmond-Cumberland to 33rd-Dauphin,,3,,FFFFFF,000000,bus_metro
40,1,40,2nd-Lombard to Conshohocken-Monumnt,,3,,FFFFFF,000000,bus_metro
41,1,41,Chelten-Wissahckn to Richmnd-Orthdx,,3,,FFFFFF,000000,bus_metro
42,1,42,2nd-Spruce to 61st-Pine/Wycombe,,3,,FFFFFF,000000,bus_metro
43,1,43,Richmond-Cumberland to 50th-Parksde,,3,,FFFFFF,000000,bus_metro
44,1,44,Front-Market to Ardmore,,3,,FFFFFF,000000,bus_metro
45,1,45,Broad-Oregon to 12th-Vine,,3,,000000,FFFFFF,bus_metro
46,1,46,58th-Baltimore to 63rd-Malvern,,3,,000000,FFFFFF,bus_metro
47,1,47,Whitman Plaza to 5th-Godfrey,,3,,000000,FFFFFF,bus_metro
47M,1,47M,Whitmn Plz to 7th-Spg Grd via 9thSt,,3,,FFFFFF,000000,bus_metro
48,1,48,Front-Market to 27th-Allegheny,,3,,000000,FFFFFF,bus_metro
49,1,49,33rd-Dauphin to 29th-Snyder,,3,,FFFFFF,000000,bus_metro
50,1,50,Parx to Frankford Transit Center,,3,,FFFFFF,000000,bus_metro
51,1,51,Plymth Mtg/Chestnt Hill to Olney TC,,3,,000000,FFFFFF,bus_metro
52,1,52,49th-Woodlnd to 54th-City/Parksd Lp,,3,,000000,FFFFFF,bus_metro
53,1,53,Wayne-Carpenter to Broad-Hunting Pk,,3,,FFFFFF,000000,bus_metro
54,1,54,Richmond-Cambria to 33rd-Dauphin,,3,,FFFFFF,000000,bus_metro
55,1,55,Doylestown/Willow Grove to Olney TC,,3,,FFFFFF,000000,bus_metro
56,1,56,23rd-Venango to Torresdale-Cottman,,3,,000000,FFFFFF,bus_metro
57,1,57,WhitmnPlz to RisngSun-Olney/FernRck,,3,,FFFFFF,000000,bus_metro
58,1,58,Neshaminy/Somerton to Frankford TC,,3,,000000,FFFFFF,bus_metro
59,1,59,Castor-Bustleton to Arrott TC,,11,,FFFFFF,000000,bus_metro
60,1,60,35th-Allegheny to Rich-Westmoreland,,3,,000000,FFFFFF,bus_metro
61,1,61,9th-Market to Manayunk,,3,,FFFFFF,000000,bus_metro
62,1,62,9th-Market to Andorra,,3,,FFFFFF,000000,bus_metro
63,1,63,Lanknau/Overbrk to ColCom/FdCtr,,3,,000000,FFFFFF,bus_metro
64,1,64,50th-Parkside to Pier 70,,3,,FFFFFF,000000,bus_metro
65,1,65,Germantown-Chelten to 69th St TC,,3,,FFFFFF,000000,bus_metro
66,1,66,Frankford TC to Frankford-Knights,,11,,000000,FFFFFF,bus_metro
67,1,67,Phila Mills/Bustletn to Frankfrd TC,,3,,FFFFFF,000000,bus_metro
68,1,68,Broad-Oregon to UPS/69th St TC,,3,,FFFFFF,000000,bus_metro
70,1,70,Frank-Grg/Torsdl-Cottmn to FernRock,,3,,000000,FFFFFF,bus_metro
71,1,71,Broad-Erie to Cheltenham-Ogontz,,3,,FFFFFF,000000,bus_metro
73,1,73,Frankford TC to Richmnd-Westmorelnd,,3,,FFFFFF,000000,bus_metro
75,1,75,Wayne Junct to Arrott Transit Ctr,,11,,FFFFFF,000000,bus_metro
77,1,77,Roosevelt-Cottman to Chestnut Hill,,3,,FFFFFF,000000,bus_metro
78,1,78,Express Cornwells Hghts to Ctr City,,3,,FFFFFF,000000,bus_metro
79,1,79,Columbus Commons to 29th-Snyder,,3,,000000,FFFFFF,bus_metro
80,1,80,Express Horsham to Olney TC,,3,,FFFFFF,000000,bus_metro
81,1,81,Broad-Erie to Cheltenham-Ogntz,,3,,FFFFFF,000000,bus_metro
