service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
106260056327,1,1,1,1,1,0,0,20260105,20261123
100153406327,0,0,0,0,0,1,0,20251206,20261123
106460536327,0,0,0,0,0,0,1,20260222,20261123
106253355339,1,1,1,1,1,0,0,20251201,20251205
106253425358,1,1,1,1,1,0,0,20251208,20251224
105853605365,1,1,1,0,1,0,0,20251226,20251231
106453346011,0,0,0,0,0,0,1,20251130,20260111
103260196019,1,0,0,0,0,0,0,20260119,20260119
106460256039,0,0,0,0,0,0,1,20260125,20260208
103260476047,1,0,0,0,0,0,0,20260216,20260216
106260486327,1,1,1,1,1,0,0,20260217,20261123
100453596001,0,0,0,1,0,0,0,20251225,20260101
106460186018,0,0,0,0,0,0,1,20260118,20260118
106460466046,0,0,0,0,0,0,1,20260215,20260215
106253325358,1,1,1,1,1,0,0,20251128,20251224
106453416011,0,0,0,0,0,0,1,20251207,20260111
106260026009,1,1,1,1,1,0,0,20260102,20260109
106260126016,1,1,1,1,1,0,0,20260112,20260116
306253276327,1,1,1,1,1,0,0,20251123,20261123
106260206044,1,1,1,1,1,0,0,20260120,20260213
306453276327,0,0,0,0,0,0,1,20251123,20261123
112753396327,1,1,1,1,1,1,1,20251205,20261123
106560466327,0,0,0,0,0,1,1,20260215,20261123
112760606327,1,1,1,1,1,1,1,20260301,20261123
212753276059,1,1,1,1,1,1,1,20251123,20260228
306553276327,0,0,0,0,0,1,1,20251123,20261123
112460476327,1,1,1,1,0,0,1,20260216,20261123
106260026016,1,1,1,1,1,0,0,20260102,20260116
200653275332,0,0,0,1,1,0,0,20251123,20251128
312753276327,1,1,1,1,1,1,1,20251123,20261123
212453275357,1,1,1,1,0,0,1,20251123,20251223
111653595364,1,1,0,1,0,0,1,20251225,20251230
112460016015,1,1,1,1,0,0,1,20260101,20260115
112460196043,1,1,1,1,0,0,1,20260119,20260212
106260966327,1,1,1,1,1,0,0,20260406,20261123
106253356327,1,1,1,1,1,0,0,20251201,20261123
100153335333,0,0,0,0,0,1,0,20251129,20251129
106260486093,1,1,1,1,1,0,0,20260217,20260403
106553336327,0,0,0,0,0,1,1,20251129,20261123
106560176327,0,0,0,0,0,1,1,20260117,20261123
106553336011,0,0,0,0,0,1,1,20251129,20260111
112760676327,1,1,1,1,1,1,1,20260308,20261123
112753356065,1,1,1,1,1,1,1,20251201,20260306
100160666066,0,0,0,0,0,1,0,20260307,20260307
212753275336,1,1,1,1,1,1,1,20251123,20251202
212753275338,1,1,1,1,1,1,1,20251123,20251204
106560186039,0,0,0,0,0,1,1,20260118,20260208
208953275334,0,1,1,0,0,1,1,20251123,20251130
212753276095,1,1,1,1,1,1,1,20251123,20260405
106553476327,0,0,0,0,0,1,1,20251213,20261123
106253606327,1,1,1,1,1,0,0,20251226,20261123
106553335340,0,0,0,0,0,1,1,20251129,20251206
106453415341,0,0,0,0,0,0,1,20251207,20251207
212753275335,1,1,1,1,1,1,1,20251123,20251201
207253275334,0,0,1,0,0,0,1,20251123,20251130
206453276011,0,0,0,0,0,0,1,20251123,20260111
112760966327,1,1,1,1,1,1,1,20260406,20261123
206553275341,0,0,0,0,0,1,1,20251123,20251207
100260026002,0,0,0,0,1,0,0,20260102,20260102
106060966327,1,1,1,1,0,0,0,20260406,20261123
106460956327,0,0,0,0,0,0,1,20260405,20261123
108460696327,0,1,0,1,0,0,1,20260310,20261123
208453276067,0,1,0,1,0,0,1,20251123,20260308
112760746327,1,1,1,1,1,1,1,20260315,20261123
103760686327,1,0,0,1,0,1,0,20260309,20261123
112760686327,1,1,1,1,1,1,1,20260309,20261123
212753276073,1,1,1,1,1,1,1,20251123,20260314
203753276066,1,0,0,1,0,1,0,20251123,20260307
212753276067,1,1,1,1,1,1,1,20251123,20260308
106253355358,1,1,1,1,1,0,0,20251201,20251224
212753276066,1,1,1,1,1,1,1,20251123,20260307
106460676067,0,0,0,0,0,0,1,20260308,20260308
112760056327,1,1,1,1,1,1,1,20260105,20261123
212753276004,1,1,1,1,1,1,1,20251123,20260104
