route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
84,106260056327,221812,545,0,61,Oakland
88,100153406327,210970,142,0,237,New York
88,106460536327,210986,104,0,237,New York
84,106253355339,221807,545,0,61,Oakland
84,106253425358,221808,545,0,61,Oakland
84,105853605365,221810,545,0,61,Oakland
88,100153406327,219064,147,1,,Roanoke
88,106453346011,210881,122,0,237,New York
88,103260196019,210883,122,0,237,New York
88,106460256039,210884,122,0,237,New York
88,103260476047,210886,122,0,237,New York
94,106260486327,219690,642,1,21,New York
88,100453596001,219065,147,1,,Roanoke
88,106460186018,219066,147,1,,Roanoke
88,106460466046,219067,147,1,,Roanoke
94,106253325358,219682,642,1,21,New York
94,105853605365,219684,642,1,21,New York
40751,106460256039,210948,2224,0,328,New York
40751,103260476047,210950,2224,0,328,New York
94,106260486327,219747,650,1,21,New York
84,106253355339,221843,551,0,61,Oakland
84,106253425358,221844,551,0,61,Oakland
84,105853605365,221846,551,0,61,Oakland
84,106260056327,221857,520,1,59,Sacramento
88,100453596001,210971,142,0,237,New York
88,106460186018,210972,142,0,237,New York
88,106460466046,210973,142,0,237,New York
84,106253355339,221852,520,1,59,Sacramento
88,106453416011,210980,104,0,237,New York
88,103260196019,210982,104,0,237,New York
88,106460256039,210983,104,0,237,New York
88,103260476047,210985,104,0,237,New York
84,106253425358,221853,520,1,59,Sacramento
84,105853605365,221855,520,1,59,Sacramento
84,106260056327,221866,522,1,59,Sacramento
94,106253325358,219739,650,1,21,New York
94,105853605365,219741,650,1,21,New York
94,106260026009,219742,650,1,21,New York
94,106260126016,219743,650,1,21,New York
42954,306253276327,203579,6084,0,,Norfolk
42954,306253276327,203582,6093,0,,Newport News
94,106260206044,219745,650,1,21,New York
42954,306253276327,203585,6094,0,,Norfolk
42954,306253276327,203588,6095,1,,Virginia Beach
42954,306453276327,203591,6096,0,,Newport News
42954,306253276327,203594,6125,1,,Virginia Beach
42954,306453276327,203597,6157,1,,Virginia Beach
42954,306253276327,203600,6185,1,,Virginia Beach
42954,306253276327,203603,6186,0,,Newport News
42954,306253276327,203606,6193,1,,Virginia Beach
42954,306253276327,203609,6285,1,,Newport News
42954,306253276327,203612,6394,0,,Norfolk
84,106253355339,221861,522,1,59,Sacramento
84,106253425358,221862,522,1,59,Sacramento
84,105853605365,221864,522,1,59,Sacramento
78,112753396327,221870,572,1,101,San Diego
88,106560466327,211009,128,0,237,New York
94,106260026009,219685,642,1,21,New York
94,106260126016,219686,642,1,21,New York
94,106260206044,219688,642,1,21,New York
42991,112760606327,219069,1333,0,338,St. Paul
42991,112760606327,219071,1340,1,337,Chicago
88,100453596001,217575,82,0,341,Boston
88,106460186018,217576,82,0,264,Boston
88,106460466046,217577,82,0,264,Boston
42991,212753276059,219068,1333,0,338,St. Paul
42991,212753276059,219070,1340,1,337,Chicago
40751,106260486327,215589,2107,1,326,Washington
40751,106253325358,215582,2107,1,326,Washington
42954,306553276327,194152,5006,1,,Emeryville
88,112460476327,219085,67,1,84,Newport News
94,106260486327,219713,648,1,21,New York
40751,105853605365,215584,2107,1,326,Washington
40751,106260026016,215585,2107,1,326,Washington
40751,106260206044,215587,2107,1,326,Washington
84,106253355339,221825,547,0,230,San Jose
84,106253425358,221826,547,0,230,San Jose
84,105853605365,221828,547,0,230,San Jose
42954,200653275332,194154,5006,1,,Emeryville
84,106260056327,221830,547,0,230,San Jose
36926,312753276327,215611,318,0,377,Chicago
36948,312753276327,215614,311,0,255,Kansas City
88,212453275357,219078,67,1,84,Newport News
88,111653595364,219080,67,1,84,Newport News
88,112460016015,219081,67,1,84,Newport News
94,106253325358,219705,648,1,21,New York
88,100453596001,210924,168,0,264,Boston
88,106460186018,210925,168,0,264,Boston
88,106460466046,210926,168,0,264,Boston
84,106260056327,221839,549,0,61,Oakland
94,105853605365,219707,648,1,21,New York
94,106260026009,219708,648,1,21,New York
88,112460196043,219083,67,1,84,Newport News
94,106260126016,219709,648,1,21,New York
88,106260966327,219100,186,0,381,New York
42954,106253356327,194190,6628,1,,Emeryville
94,106260206044,219711,648,1,21,New York
84,106253355339,221834,549,0,61,Oakland
84,106253425358,221835,549,0,61,Oakland
84,105853605365,221837,549,0,61,Oakland
40751,100153335333,210932,2222,0,328,New York
40751,106453346011,210933,2222,0,328,New York
40751,103260196019,210935,2222,0,328,New York
40751,106460256039,210936,2222,0,328,New York
84,106260056327,221848,551,0,61,Oakland
88,106253325358,219092,186,0,,Philadelphia
88,105853605365,219094,186,0,,Philadelphia
88,106260026016,219095,186,0,,Philadelphia
40751,103260476047,210938,2222,0,328,New York
88,106260206044,219097,186,0,,Philadelphia
40751,100153335333,210944,2224,0,328,New York
40751,106453346011,210945,2224,0,328,New York
88,106260486093,219099,186,0,,Philadelphia
40751,103260196019,210947,2224,0,328,New York
90,106553336327,217548,54,0,191,St Albans
40751,106260486327,212879,2163,1,324,Washington
94,106560176327,219665,661,0,23,Harrisburg
88,100153335333,210880,122,0,237,New York
94,106260486327,214486,609,0,23,Harrisburg
40751,106253325358,212872,2163,1,324,Washington
40751,105853605365,212874,2163,1,324,Washington
40751,106260026016,212875,2163,1,324,Washington
90,100453596001,217549,54,0,191,St Albans
90,103260196019,217550,54,0,191,St Albans
40751,106260206044,212877,2163,1,324,Washington
90,103260476047,217551,54,0,191,St Albans
94,106553336011,219663,661,0,23,Harrisburg
94,100453596001,219664,661,0,23,Harrisburg
94,103260196019,219666,661,0,23,Harrisburg
42951,312753276327,195509,301,1,256,St. Louis
94,103260476047,219667,661,0,23,Harrisburg
42935,312753276327,212902,8391,0,,St. Paul
88,106460536327,210887,122,0,237,New York
94,106253325358,214479,609,0,23,Harrisburg
94,105853605365,214481,609,0,23,Harrisburg
94,106260026016,214482,609,0,23,Harrisburg
94,106260206044,214484,609,0,23,Harrisburg
88,100153406327,217574,82,0,341,Boston
88,100153406327,210923,168,0,264,Boston
40751,106460536327,210939,2222,0,328,New York
40751,106460536327,210951,2224,0,328,New York
84,106260056327,221901,528,1,64,Sacramento
84,106253355339,221896,528,1,64,Sacramento
84,106253425358,221897,528,1,64,Sacramento
84,105853605365,221899,528,1,64,Sacramento
81,112760676327,200513,449,0,125,Chicago
84,106260056327,221910,534,1,59,Sacramento
40751,106460536327,212998,2262,0,327,Boston
88,106260486327,217646,141,1,348,Norfolk
94,106260486327,219794,658,1,21,New York
88,106253325358,217639,141,1,348,Norfolk
88,105853605365,217641,141,1,348,Norfolk
40751,100153335333,212991,2262,0,327,Boston
40751,106453346011,212992,2262,0,327,Boston
88,106260026016,217642,141,1,348,Norfolk
40751,103260196019,212994,2262,0,327,Boston
40751,106460256039,212995,2262,0,327,Boston
40751,103260476047,212997,2262,0,327,Boston
88,106260206044,217644,141,1,348,Norfolk
81,112753356065,200511,449,0,125,Chicago
81,100160666066,200512,449,0,125,Chicago
94,106253325358,219786,658,1,21,New York
94,105853605365,219788,658,1,21,New York
94,106260026009,219789,658,1,21,New York
94,106260126016,219790,658,1,21,New York
94,106260206044,219792,658,1,21,New York
84,106253355339,221905,534,1,59,Sacramento
84,106253425358,221906,534,1,59,Sacramento
84,105853605365,221908,534,1,59,Sacramento
42954,212753275336,217648,3402,1,,Stockton
94,106260486327,214590,644,1,21,New York
40751,106260486327,219807,2121,1,326,Washington
40751,106260486327,219833,2108,0,328,New York
84,106260056327,221919,536,1,59,Sacramento
40751,106253325358,219800,2121,1,326,Washington
40751,105853605365,219802,2121,1,326,Washington
40751,106260026016,219803,2121,1,326,Washington
68,312753276327,215653,64,1,198,New York
84,106253355339,221914,536,1,59,Sacramento
84,106253425358,221915,536,1,59,Sacramento
84,105853605365,221917,536,1,59,Sacramento
40751,106460536327,211023,2226,0,328,New York
84,106260056327,221883,524,1,64,Sacramento
94,106260486327,219759,654,1,21,New York
36948,312753276327,215634,316,1,257,St. Louis
78,212753275338,221869,572,1,101,San Diego
42954,306253276327,203617,6438,0,,Norfolk
84,106253355339,221878,524,1,64,Sacramento
84,106253425358,221879,524,1,64,Sacramento
84,105853605365,221881,524,1,64,Sacramento
88,106553336011,211003,128,0,237,New York
88,100453596001,211004,128,0,237,New York
88,106560186039,211006,128,0,237,New York
94,106253325358,219751,654,1,21,New York
94,105853605365,219753,654,1,21,New York
94,106260026009,219754,654,1,21,New York
94,106260126016,219755,654,1,21,New York
94,106260206044,219757,654,1,21,New York
88,103260196019,211007,128,0,237,New York
88,103260476047,211010,128,0,237,New York
40751,100153335333,211016,2226,0,328,New York
40751,106453346011,211017,2226,0,328,New York
40751,103260196019,211019,2226,0,328,New York
40751,106460256039,211020,2226,0,328,New York
94,106260486327,219771,656,1,21,New York
40751,103260476047,211022,2226,0,328,New York
84,106260056327,221892,526,1,59,Sacramento
94,106253325358,219763,656,1,21,New York
94,105853605365,219765,656,1,21,New York
94,106260026009,219766,656,1,21,New York
94,106260126016,219767,656,1,21,New York
94,106260206044,219769,656,1,21,New York
84,106253355339,221887,526,1,59,Sacramento
84,106253425358,221888,526,1,59,Sacramento
84,105853605365,221890,526,1,59,Sacramento
42896,208953275334,217670,5602,1,,Santa Barbara
42896,208953275334,217671,5615,0,,Bakersfield
41044,100453596001,219193,400,0,317,Greenfield
41044,103260196019,219194,400,0,317,Greenfield
41044,103260476047,219195,400,0,317,Greenfield
88,212753276095,207974,66,0,343,Boston
41042,100453596001,219201,405,1,318,New Haven
41042,103260196019,219202,405,1,318,New Haven
41042,103260476047,219203,405,1,318,New Haven
61,106253325358,219209,684,1,153,Boston
88,106553476327,221943,160,0,264,Boston
61,106253606327,219211,684,1,153,Boston
88,106553335340,221941,160,0,264,Boston
42985,306453276327,185787,9484,0,,Baltimore
88,106453415341,221942,160,0,264,Boston
88,100453596001,221944,160,0,264,Boston
88,103260196019,221945,160,0,264,Boston
88,103260476047,221946,160,0,264,Boston
61,106253606327,219221,685,0,152,Brunswick
42954,312753276327,200553,6292,0,,Jacksonville
61,106253325358,219219,685,0,152,Brunswick
42985,306453276327,185795,9488,0,,Baltimore
42985,306453276327,185804,9493,1,,Washington
42985,306453276327,211069,9478,0,,Baltimore
42985,306453276327,211073,9485,1,,Washington
42985,306453276327,211074,9486,0,,Baltimore
42985,306453276327,211078,9692,0,,Martin Airport
36921,312753276327,187864,281,0,279,Niagara Falls
68,312753276327,187868,63,0,350,Toronto
60,312753276327,188910,509,1,293,Portland
60,312753276327,188913,518,0,291,Vancouver
88,106553336327,221959,165,1,260,Washington
42985,306253276327,185852,9534,0,,Perryville
88,100453596001,221960,165,1,260,Washington
88,103260196019,221961,165,1,260,Washington
88,103260476047,221962,165,1,260,Washington
94,106253325358,214583,644,1,21,New York
94,105853605365,214585,644,1,21,New York
94,106260026016,214586,644,1,21,New York
94,106260206044,214588,644,1,21,New York
42954,212753275335,217653,3403,0,,San Francisco
84,106260056327,221928,538,1,63,Auburn
42954,207253275334,217655,3913,0,,San Jose
42954,207253275334,217656,3918,1,,Stockton
42954,207253275334,217657,3919,0,,San Jose
40751,106260206044,219805,2121,1,326,Washington
88,106460536327,214605,123,1,,Philadelphia
84,106253355339,221923,538,1,63,Auburn
84,106253425358,221924,538,1,63,Auburn
84,105853605365,221926,538,1,63,Auburn
88,206453276011,214596,123,1,,Philadelphia
88,100453596001,214599,123,1,,Philadelphia
88,103260196019,214601,123,1,,Philadelphia
88,106460256039,214602,123,1,,Philadelphia
88,103260476047,214604,123,1,,Philadelphia
40751,106253325358,219826,2108,0,328,New York
40751,105853605365,219828,2108,0,328,New York
40751,106260026016,219829,2108,0,328,New York
42954,312753276327,200537,6098,0,,Orlando
40751,106260206044,219831,2108,0,328,New York
78,112753396327,221933,577,0,102,Los Angeles
41044,306553276327,219191,400,0,317,Greenfield
41042,306553276327,219199,405,1,318,New Haven
88,112760966327,207975,66,0,343,Boston
78,212753275338,221932,577,0,102,Los Angeles
84,106553476327,221965,723,0,230,San Jose
42954,312753276327,215697,3514,1,,Salinas
42985,306453276327,211081,9694,0,,Martin Airport
84,206553275341,221963,723,0,230,San Jose
84,200653275332,221964,723,0,230,San Jose
